Record Number,Section,Page Name,Discovered URL,Final URL,Canonical URL,URL Slug,HTTP Status,Indexable,Page Type,Primary Topic,Secondary Topics,Category,Publication Date,Last Modified,Author,H1,Meta Description,Opening Summary,Core Message,Primary Audience,Current Featured Image URL,Current Image Filename,Current Image Width,Current Image Height,Current Alt Text,Current OG Image,Current Twitter Image,Uses resources.png,Uses blog.png,Uses Other Generic Image,Needs New Image,Design Priority,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Design Status,Notes
46,Resource,WebAuthn Attestation Decoder,https://ambisecure.ambimat.com/resources/tools/attestation-decoder/,https://ambisecure.ambimat.com/resources/tools/attestation-decoder/,https://ambisecure.ambimat.com/resources/tools/attestation-decoder/,resources/tools/attestation-decoder,200,Yes,PARSER,Attestation,WebAuthn; FIDO2; Hardware security keys,FIDO & WebAuthn,,2026-06-19,,WebAuthn Attestation Decoder,"Decode WebAuthn attestationObject (CBOR with fmt, attStmt, authData). Walks attStmt and links into the authenticatorData parser.","Decode WebAuthn attestationObject (CBOR with fmt, attStmt, authData). Walks attStmt and links into the authenticatorData parser.","Decode a CBOR attestationObject into fmt, attStmt and authData so a relying-party team can read exactly what an authenticator claims about its make and model.",Security architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,"Attestation identifies the device, not the person",Inside the CBOR attestationObject,TOOL,DATA PARSER,"Dominant object: a three-branch CBOR map tree hanging off the attestationObject root. Five nodes: the root map; the fmt branch showing none / packed / tpm side by side; the attStmt branch carrying alg (-7 ES256), sig and an x5c certificate array handed to the X.509 viewer; the authData branch as a byte block handed to the authenticatorData parser; and an AAGUID chip pointing at a greyed FIDO MDS BLOB for enterprise policy. What stays inside hardware: the attestation private key — only the signature and the attestation certificate chain travel outward. The only external element is the MDS BLOB, drawn as an RP-side step this decode-only tool does not perform. Labels allowed: fmt, attStmt, authData, x5c, alg, AAGUID. Must not imply signature or chain verification, or that attestation carries user identity. Within VSG-BYTE-PARSER this page owns the nested CBOR key/value tree with a certificate-array branch, not a linear byte ribbon.","Do not present the decoder as an attestation verifier — it checks neither the signature nor the x5c chain; Do not show attestation carrying user identity, it identifies make and model only; Do not draw the attestation private key leaving the authenticator — only the signature and certificate chain travel; Do not imply fmt: none is broken, it is the normal consumer case; Do not place a FIDO root certificate inside x5c, the chain stops below the root","AmbiSecure attestation decoder splitting a CBOR attestationObject into fmt, attStmt and authData, showing how an AAGUID pins an authenticator's make and model.",ambisecure-resources-tools-attestation-decoder-1200x630.png,VSG-BYTE-PARSER,Not started,
47,Resource,RP ID / Origin Validator,https://ambisecure.ambimat.com/resources/tools/rp-id-validator/,https://ambisecure.ambimat.com/resources/tools/rp-id-validator/,https://ambisecure.ambimat.com/resources/tools/rp-id-validator/,resources/tools/rp-id-validator,200,Yes,ENGINEERING TOOL,WebAuthn,Phishing-resistant authentication; FIDO2; Passkeys,FIDO & WebAuthn,,2026-06-19,,RP ID / Origin Validator,"Validate WebAuthn rpId / origin combinations. Confirms registrable-suffix rule, HTTPS posture, public-suffix-list constraints.","Validate WebAuthn rpId / origin combinations. Confirms registrable-suffix rule, HTTPS posture, public-suffix-list constraints.",Check an origin and rpId pair against the WebAuthn registrable-domain-suffix rule before a browser rejects the ceremony in production.,Security architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,rpId must be a registrable suffix,Credential scope is a domain decision,TOOL,CONCEPTUAL ILLUSTRATION,"Dominant object: a domain-name hierarchy with a scope bracket drawn over it. Five nodes: the origin https://login.example.com; its effective domain login.example.com; the rpId example.com rendered as the bracket enclosing every *.example.com host the credential may roam across; an ALLOWED verdict chip on that pair; and a REJECTED chip on a non-suffix pair with a public-suffix stop-line at 'com'. Nothing hardware-internal is shown — RP ID scoping is enforced by the browser before the authenticator is ever reached, so no keys or authenticators appear. Nothing communicates externally either: validation is local string logic against the registrable-suffix rule, with no DNS or certificate traffic. Labels allowed: origin, rpId, https, registrable suffix, ALLOWED, REJECTED. Within VSG-FIDO-CEREMONY this page owns the static domain hierarchy: no actors, no messages, no byte fields.","Do not show an authenticator or key material — RP ID scoping is browser-enforced before the authenticator is reached; Do not imply the tool queries live DNS, TLS certificates or the Public Suffix List over the network; Do not draw an rpId with a scheme, port or path — rpId is a bare domain; Do not present an ALLOWED verdict as phishing protection in itself; Do not mark http://localhost as invalid, it is the one HTTP exception",Layered diagram from the AmbiSecure RP ID validator tracing an origin down to its rpId suffix, with the key held in the authenticator.,ambisecure-resources-tools-rp-id-validator-1200x630.png,VSG-FIDO-CEREMONY,Not started,"The tool's public-suffix check is a heuristic (short hardcoded list plus a 2-3 letter regex), not a real Public Suffix List lookup — the image must not imply authoritative PSL coverage."
48,Resource,Base64URL Converter,https://ambisecure.ambimat.com/resources/tools/base64url/,https://ambisecure.ambimat.com/resources/tools/base64url/,https://ambisecure.ambimat.com/resources/tools/base64url/,resources/tools/base64url,200,Yes,ENGINEERING TOOL,WebAuthn,FIDO2,FIDO & WebAuthn,,2026-06-19,,Base64URL Converter,"Encode and decode base64url (RFC 4648 §5). The format WebAuthn, JOSE, and CTAP2 use everywhere. Bidirectional conversion — base64url, base64, hex, UTF-8.","Encode and decode base64url (RFC 4648 §5). The format WebAuthn, JOSE, and CTAP2 use everywhere. Bidirectional conversion — base64url, base64, hex, UTF-8.","Decodes and re-encodes base64url — the RFC 4648 section 5 format WebAuthn, JOSE, and CTAP2 use for every binary field — and shows the same value simultaneously as base64, hex, and UTF-8.",Security practitioner,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,The alphabet WebAuthn actually uses,"One value, four representations",TOOL,DATA PARSER,"Dominant object is a single WebAuthn credentialId value at centre, radiating into four synchronised representation lanes that all describe the same bytes: base64url (- _, no padding), standard base64 (+ /, = padding), hex bytes, and UTF-8 text shown greyed and struck because the field is a raw identifier, not readable text. Five nodes: the source value plus the four lanes. Small consumer chips ring the base64url lane — WebAuthn challenge/credentialId, JWS, CTAP2, PKCE — naming who relies on this alphabet. The entire fan sits inside a browser-boundary frame: no authenticator, relying party, or server is contacted. Variation within VSG-ENCODING-CONVERTER: this is the one-to-many radial representation fan anchored to a real WebAuthn field, distinct from rec 17's two-track base64 fork. Allowed labels: RFC 4648 section 5, base64url, - _, + /, credentialId. Must not imply any ceremony participation.","Do not show base64url carrying = padding or + and / characters — it uses - and _ and drops padding; Do not imply the tool contacts an authenticator, verifies an assertion, or checks a signature; Do not depict base64url as conferring any security property — it is transport encoding, and origin binding is what makes WebAuthn phishing-resistant; Do not render a decoded credentialId as readable text — the bytes are opaque","A WebAuthn credentialId fanned into base64url, base64, hex and UTF-8 lanes, showing the RFC 4648 section 5 alphabet FIDO2 and JOSE use — decoded in the browser.",ambisecure-resources-tools-base64url-1200x630.png,VSG-ENCODING-CONVERTER,Not started,Thin body (~775 chars) and overlaps rec 17; differentiate strictly on the WebAuthn/JOSE/CTAP2 framing and consider expanding the copy.
49,Resource,Credential ID Inspector,https://ambisecure.ambimat.com/resources/tools/credential-id/,https://ambisecure.ambimat.com/resources/tools/credential-id/,https://ambisecure.ambimat.com/resources/tools/credential-id/,resources/tools/credential-id,200,Yes,ENGINEERING TOOL,WebAuthn,FIDO2; Passkeys; Hardware security keys,FIDO & WebAuthn,,2026-06-19,,Credential ID Inspector,"Inspect a WebAuthn credentialId — length, entropy, AAGUID-shaped prefix, encoding cross-checks. Diagnostic only; credentialIds are opaque to the RP.","Inspect a WebAuthn credentialId — length, entropy, AAGUID-shaped prefix, encoding cross-checks. Diagnostic only; credentialIds are opaque to the RP.","Sanity-check a credentialId's length, entropy and encoding while keeping the governing rule visible — the credentialId is opaque to the relying party.",Security practitioner,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,3,credentialId is opaque to the RP,Small ID or wrapped key blob,TOOL,DATA PARSER,"Dominant object: one credentialId blob split into two contrasting silhouettes. Five nodes: the byte blob with its length chip; a short discoverable-credential ID whose credential lives on the authenticator; a long server-side-resident ID carrying an encrypted key wrap, drawn as a sealed box the RP cannot open; a Shannon entropy readout in bits/byte; and an optional AAGUID-shaped first-16-bytes prefix chip that only some vendors prepend. What stays inside hardware: the wrapping key, which never leaves the authenticator even though the wrapped blob rides inside the ID. Nothing communicates externally; inspection is local. Labels allowed: credentialId, bytes, bits/byte, allowCredentials, AAGUID prefix. Must not imply the RP can derive identity or key material from the bytes. Within VSG-BYTE-PARSER this page owns the whole-blob comparison with an entropy readout — no offsets, no tree.","Do not show the RP reading identity or key material out of the credentialId — it is opaque by design; Do not draw the wrapping key leaving the authenticator, only the wrapped blob travels inside the ID; Do not present low entropy as a vulnerability finding — this is a diagnostic, not a scanner; Do not imply an AAGUID-shaped prefix is required, only some vendors prepend one; Do not imply long IDs are weaker than short ones, both are spec-compliant","AmbiSecure credential ID inspector contrasting a short discoverable WebAuthn credentialId with a long wrapped-key blob, both opaque to the relying party.",ambisecure-resources-tools-credential-id-1200x630.png,VSG-BYTE-PARSER,Not started,"Narrow diagnostic utility, low sharing potential — supporting page for the AAGUID and authenticatorData tools. Separate content bug (not image-blocking): in credential-id-inspector.js the b.length === 64 note is unreachable, shadowed by the preceding 32-64 range branch."
50,Resource,WebAuthn Challenge Viewer,https://ambisecure.ambimat.com/resources/tools/challenge-viewer/,https://ambisecure.ambimat.com/resources/tools/challenge-viewer/,https://ambisecure.ambimat.com/resources/tools/challenge-viewer/,resources/tools/challenge-viewer,200,Yes,ENGINEERING TOOL,WebAuthn,FIDO2; Phishing-resistant authentication,FIDO & WebAuthn,,2026-06-19,,WebAuthn Challenge Viewer,"Inspect a WebAuthn challenge — length, Shannon entropy, common pitfalls. Generate fresh 32-byte challenges with the platform CSPRNG.","Inspect a WebAuthn challenge — length, Shannon entropy, common pitfalls. Generate fresh 32-byte challenges with the platform CSPRNG.","Inspect a WebAuthn challenge's length and entropy and generate a fresh 32-byte one with the platform CSPRNG, so predictable challenges never reach production.",Security practitioner,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"32 random bytes, server-side, single-use","Without freshness, signatures replay",TOOL,TECHNICAL WORKBENCH,"Dominant object: a 32-cell byte grid with uniformly scattered values, paired with an entropy gauge. Five nodes: the challenge byte grid; the gauge reading bits/byte against the 8.0 ideal; a length chip contrasting the spec floor of 16 bytes with the recommended 32; a rejected counter-example whose bytes are all printable ASCII, flagged suspicious; and a CSPRNG source chip (crypto.getRandomValues / crypto.randomBytes) with Math.random struck through. Nothing hardware-internal appears — a challenge is public, RP-generated freshness data, not key material, and it is not produced by the authenticator. Nothing communicates externally: generation uses the local platform CSPRNG in-page and no bytes are transmitted. Labels allowed: bytes, bits/byte, 16, 32, CSPRNG. Must not imply the challenge is secret or that an entropy score proves RNG soundness.","Do not depict the challenge as a secret or a key — it is public, single-use freshness data; Do not show the challenge originating in the authenticator, the relying party generates it; Do not imply the entropy readout proves an RNG is cryptographically sound, it is a smoke test on one sample; Do not present a challenge below the 16-byte spec floor as acceptable; Do not imply generated challenges are sent to or stored on an AmbiSecure server","Byte grid and entropy gauge from the AmbiSecure WebAuthn challenge viewer, contrasting CSPRNG output with predictable challenges that let signatures replay.",ambisecure-resources-tools-challenge-viewer-1200x630.png,VSG-CRYPTO-CALC,Not started,
51,Resource,ISO 7816-4 CLA Decoder,https://ambisecure.ambimat.com/resources/tools/iso7816-cla/,https://ambisecure.ambimat.com/resources/tools/iso7816-cla/,https://ambisecure.ambimat.com/resources/tools/iso7816-cla/,resources/tools/iso7816-cla,200,Yes,PARSER,APDU,Smart cards; Secure Elements,Smart-card engineering,,2026-06-19,,ISO 7816-4 CLA Decoder,"Decode the ISO/IEC 7816-4 CLA byte — interindustry vs proprietary, secure messaging bits, command chaining, logical channel.","Decode the ISO/IEC 7816-4 CLA byte — interindustry vs proprietary, secure messaging bits, command chaining, logical channel.","Decode the ISO/IEC 7816-4 CLA byte into its bit-fields so engineers can see at a glance whether a command is interindustry or proprietary, secure-messaged, chained, and on which logical channel.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,What the CLA byte declares,"Secure messaging, chaining, channel — in one byte",TOOL,DATA PARSER,"Dominant object: a single CLA byte magnified into eight labelled bit cells, sitting at the head of a greyed-out APDU header (CLA INS P1 P2), with callout lines fanning to four readouts. Flow: one byte in, four independent field meanings out. Five major nodes maximum: class type (interindustry vs proprietary, top bit), secure messaging (bits b3..b2, four states from 'no SM' to 'header authenticated'), command chaining (bit b4), logical channel (low two bits, channels 0-3), and a small strip of real sample values 00 / 0C / 80 / 84. Inside hardware: nothing is computed on a card — the card that would interpret this CLA stays out of frame. External: show the APDU header as the thing that would travel to a card, but with no reader, no cable and no transmission depicted; decoding runs locally. Labels allowed: 'CLA INS P1 P2', '00 / 0C / 80 / 84', 'b3..b2 SM', 'b4 chaining', 'channel 0-3', 'ISO/IEC 7816-4 §5.4.1'. Must not imply the tool sends anything or that proprietary classes are defective. Variation within VSG-BYTE-PARSER: this is the only concept at single-byte bit-cell resolution — one byte, no tree, no sequence, no multi-field ribbon.","Do not show a card reader, cable or live card — the decoder never transmits an APDU; Do not present proprietary CLA 0x80/0x84 as invalid or insecure — they are simply application-defined (e.g. GlobalPlatform); Do not depict the SM bits performing encryption — they only signal that secure messaging is in effect; Do not show CLA 0xFF as a normal class — it is reserved by 7816-3 for PPS; Do not show a logical channel above 3 on the first-interindustry encoding (channels 4-19 use the further-interindustry form)","A single ISO 7816-4 CLA byte magnified into bit cells, showing how a card learns the class, secure-messaging state, chaining and logical channel.",ambisecure-resources-tools-iso7816-cla-1200x630.png,VSG-BYTE-PARSER,Not started,"Bit-numbering caveat for human review: the page and its JS use zero-indexed names (b3..b2 for SM, b4 for chaining), whereas ISO/IEC 7816-4 numbers bits b1..b8. Match the site's own naming in the image for consistency with the tool, but a reviewer may want the page itself aligned to ISO numbering."
52,Resource,BER Length Visualizer,https://ambisecure.ambimat.com/resources/tools/ber-length/,https://ambisecure.ambimat.com/resources/tools/ber-length/,https://ambisecure.ambimat.com/resources/tools/ber-length/,resources/tools/ber-length,200,Yes,CALCULATOR,BER-TLV,Smart cards; JavaCard; Personalization,ASN.1 & encoding,,2026-06-19,,BER Length Visualizer,"Decode and encode BER length octets — short-form, long-form, and indefinite-form. Quick reference for ASN.1 and EMV TLV encoding.","Decode and encode BER length octets — short-form, long-form, and indefinite-form. Quick reference for ASN.1 and EMV TLV encoding.","Decode BER length octets and encode an integer back into them, covering short-form, long-form and indefinite-form under ITU-T X.690 §8.1.3.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,3,Three ways BER encodes a length,"Long-form length octets, decoded and built",TOOL,COMPARISON,"Dominant object: one length value shown three ways on a horizontal comparison rail, with a two-headed arrow across the middle marking that the tool runs in both directions (octets to integer, integer to octets). Flow: a length in bytes maps to a distinct octet pattern depending on magnitude and encoding rules. Five major nodes maximum: short-form (single octet ≤ 0x7F), long-form (first octet 0x80|N then N big-endian octets, e.g. 82 01 2C), indefinite-form (0x80, BER only, terminated by 00 00), the DGI long-form variant (always FF followed by a 2-byte big-endian length, even for small values), and the encode direction. Inside hardware: nothing — this is pure encoding arithmetic, no card and no key material. External: nothing leaves the browser; decoding and encoding are local. Labels allowed: 'ITU-T X.690 §8.1.3', '0x7F', '0x80 | N', '00 00', 'FF || 2-byte BE', 'DER forbids'. Must not imply this parses whole TLV structures — it handles the length field only.","Do not show indefinite-form 0x80 as valid DER — DER forbids it, it is BER-only; Do not present 0xFF as a usable length octet — it is reserved; Do not merge the tag byte into the length octets — the rail shows the length field alone; Do not imply the tool parses complete TLV objects or values; Do not show DGI long-form as a general BER rule — it is a stricter EMV personalisation variant","Three BER length forms compared side by side — short, long and indefinite — showing how X.690 encodes any TLV length in one or more octets.",ambisecure-resources-tools-ber-length-1200x630.png,VSG-ENCODING-CONVERTER,Not started,"Consolidation candidate: overlaps the Length-Field Encoder at /resources/tools/length-field/ (BER, DGI, u8, u16 BE/LE), which the page itself links as a companion. The encode halves substantially duplicate; a reviewer may want these merged into one length tool, or this page narrowed to decode-plus-explainer. Narrow utility and low sharing potential either way."
53,Resource,EMV Tag Dictionary,https://ambisecure.ambimat.com/resources/tools/emv-tag-dict/,https://ambisecure.ambimat.com/resources/tools/emv-tag-dict/,https://ambisecure.ambimat.com/resources/tools/emv-tag-dict/,resources/tools/emv-tag-dict,200,Yes,REFERENCE DATABASE,BER-TLV,Smart cards; APDU; NFC,Payments engineering,,2026-06-19,,EMV Tag Dictionary Explorer,"Filterable directory of EMV (Books 3, 4, and CL) tags — SELECT, GET PROCESSING OPTIONS, READ RECORD, GENERATE AC, terminal capabilities.","Filterable directory of EMV (Books 3, 4, and CL) tags — SELECT, GET PROCESSING OPTIONS, READ RECORD, GENERATE AC, terminal capabilities.","A filterable directory of EMV BER-TLV tags across Books 3, 4 and contactless, so implementers can resolve a hex prefix or a name fragment without opening the specs.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"Every EMV tag, one filter box","From 4F to 9F26, explained",REFERENCE,TECHNICAL WORKBENCH,"Dominant object: a single filter field at the top with a short column of EMV tag rows narrowing beneath it, each row showing hex tag, name and source. Flow: typing a hex prefix or name fragment collapses the directory to matching rows — the image should show the narrowing, not a full dump. Five major nodes maximum: the filter input and four real rows — 4F (Application Identifier, AID), 6F (File Control Information Template, returned in SELECT), 82 (Application Interchange Profile), and 9F26 (Application Cryptogram, a 2-byte tag). Inside hardware: nothing — no card, no terminal, no transaction; this is a lookup surface. External: nothing leaves the browser; filtering is local. Labels allowed: 'EMV Books 3 & 4', 'EMV Contactless C-2 / C-3', '4F', '6F', '82', '9F26', 'primitive / constructed'. Must not imply this is a transaction decoder. Variation within VSG-REFERENCE-TABLE: a search-driven row directory that visibly filters, versus the layered four-part standard stack of the ISO/IEC 14443 reference (rec 35).","Do not show a real PAN, cardholder name or track-2 data in any sample row — use tag names only; Do not present the dictionary as an EMV transaction decoder, terminal or kernel; Do not show only 1-byte tags — many EMV tags are 2 bytes (e.g. 9F26); Do not imply EMV Level 1/Level 2 certification or approval of AmbiSecure; Do not show a payment card being tapped — this is a static lookup, not a live capture","Filterable directory of EMV BER-TLV tags on AmbiSecure, with a search field narrowing rows like 4F, 82 and 9F26 down to the ones an implementer needs.",ambisecure-resources-tools-emv-tag-dict-1200x630.png,VSG-REFERENCE-TABLE,Not started,"EMV is adjacent to rather than central in AmbiSecure's positioning, but the dictionary has real search value and links onward to the TLV parser. Page references a 'future cornerstone: EMV transaction flow' article that does not appear to exist yet — worth a human check before the image leans on EMV depth."
54,Resource,Key Diversification Visualizer,https://ambisecure.ambimat.com/resources/tools/key-diversification/,https://ambisecure.ambimat.com/resources/tools/key-diversification/,https://ambisecure.ambimat.com/resources/tools/key-diversification/,resources/tools/key-diversification,200,Yes,ENGINEERING TOOL,Smart cards,Transit security; Personalization; Secure Elements,Key management,,2026-06-19,,Key Diversification Visualizer,"Educational visualizer for AES-CMAC key diversification (NXP AN10922 / AV2). Shows the SHAPE of the derivation, not a production-grade computation.","Educational visualizer for AES-CMAC key diversification (NXP AN10922 / AV2). Shows the SHAPE of the derivation, not a production-grade computation.",An educational visualizer showing the shape of AES-CMAC key diversification — why the master key stays in the SAM and each card carries only its own derivative — without producing a usable key.,Transit-system architect,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"One master key, one key per card",Why the master key stays in the SAM,ENGINEERING RESOURCE,SYSTEM ARCHITECTURE,"Dominant object: a SAM module on the left, drawn as a sealed enclosure holding the master key K_app, feeding a derivation block that takes a card UID and emits one per-card key into one card among a small fan of cards on the right. Flow: UID in, derivation, unique key out, repeated per card. Five major nodes maximum: the SAM holding K_app, the incoming card UID, the derivation function (AES-CMAC per NXP AN10922/AV2), the diversified per-card key landing in a card, and a small blast-radius marker showing that one compromised card exposes only that card. Inside hardware: the master key never leaves the SAM/HSM enclosure — draw it fully contained, with no line carrying it outward; the diversified key sits inside the card's protected memory. External: only the UID and the resulting per-card key move, and only during personalisation. Labels allowed: 'K_app', 'UID', 'AES-CMAC', 'AN10922', 'SAM', 'EDUCATIONAL'. Must not imply the browser performs production key derivation. Variation within VSG-CRYPTO-CALC: this is a key-distribution topology across SAM and cards, whereas the CMAC length calculator (rec 85) is a flat block-arithmetic bar with no cards in frame.","Do not present the output as a real or usable diversified key — the tool uses a SHA-256 stand-in, not production AES-CMAC; Do not show the master key leaving the SAM or HSM; Do not depict this as production-ready derivation or a personalisation system; Do not suggest pasting real master keys into a browser — the page explicitly warns against it; Do not show one card's compromise propagating to other cards — that is the failure mode diversification prevents","A SAM holding the master key derives a unique per-card key from each UID, illustrating why compromising one transit card exposes only that card.",ambisecure-resources-tools-key-diversification-1200x630.png,VSG-CRYPTO-CALC,Not started,The educational caveat is load-bearing: the page states plainly that it uses a SHA-256 stand-in so users grasp the shape without producing a usable key. The image must carry an EDUCATIONAL marker or it misrepresents the tool. Ties naturally to AmbiSecure's SAM/transit content.
55,Resource,SCP03 Session Walkthrough,https://ambisecure.ambimat.com/resources/tools/scp03-walkthrough/,https://ambisecure.ambimat.com/resources/tools/scp03-walkthrough/,https://ambisecure.ambimat.com/resources/tools/scp03-walkthrough/,resources/tools/scp03-walkthrough,200,Yes,PROTOCOL REFERENCE,Secure Elements,JavaCard; APDU; Provisioning,Secure channel engineering,,2026-06-19,,SCP03 Session Walkthrough,Educational walkthrough of GlobalPlatform SCP03 (AES-128 mutual authentication and secure messaging). No production key compute — illustration only.,Educational walkthrough of GlobalPlatform SCP03 (AES-128 mutual authentication and secure messaging). No production key compute — illustration only.,"An annotated walkthrough of the GlobalPlatform SCP03 handshake — challenges, session-key derivation, mutual authentication and secure messaging — with real command bytes and no key computation.",JavaCard developer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,How SCP03 opens a secure channel,Mutual authentication in six steps,ENGINEERING RESOURCE,PROTOCOL FLOW,"Dominant object: a vertical ladder diagram between two columns, Host on the left and Card (secure element) on the right, with the static-key store drawn as a sealed vault inside each column. Flow: challenge exchange, key derivation on both sides independently, cryptogram verification each way, then wrapped traffic. Five major nodes maximum: INITIALIZE UPDATE carrying the 8-byte host_challenge (CLA=0x80 INS=0x50); the card response returning card_challenge, card_cryptogram and the sequence counter; session-key derivation performed separately on both sides from the static keys plus both challenges; EXTERNAL AUTHENTICATE carrying the host cryptogram (CLA=0x84 INS=0x82), completing mutual authentication; and secure messaging in effect, with every command APDU wrapped as AES-CBC body plus C-MAC. Inside hardware: the static keys S-ENC, S-MAC and S-DEK stay in the HSM on the host side and in the secure element on the card side — draw them inside the vaults with no line crossing the ladder. External: only challenges, cryptograms and wrapped APDUs cross the link. Labels allowed: 'CLA=80 INS=50', 'CLA=84 INS=82', 'S-ENC / S-MAC / S-DEK', 'C-MAC / R-MAC', 'GP 2.3.1 Amd D'. Must not imply a runnable simulator — the page is annotation only.","Do not show static keys S-ENC/S-MAC/S-DEK crossing the host-card link — session keys are derived independently on each side, never transmitted; Do not depict SCP03 as 3DES-based — SCP03 is AES-128 and supplants 3DES-based SCP02; Do not present the page as a live simulator or key-compute tool — it is annotation, not runnable; Do not show mutual authentication as complete before EXTERNAL AUTHENTICATE is verified by the card; Do not show secure messaging wrapping the INITIALIZE UPDATE exchange — wrapping only begins after mutual authentication","Ladder diagram of a GlobalPlatform SCP03 handshake between host and secure element, where challenges cross the link but static AES keys never do.",ambisecure-resources-tools-scp03-walkthrough-1200x630.png,VSG-SECURE-CHANNEL,Not started,"New VSG coined: no listed group fits a two-party protocol ladder (VSG-FIDO-CEREMONY is FIDO-specific). Reusable for other secure-channel pages. Strong commercial relevance — GlobalPlatform/SCP03 sits directly on AmbiSecure's secure-element and JavaCard lines. Adjacent to /resources/tools/scp03-helper/, which does compute session keys with AES-CMAC; keep the two images distinct (walkthrough = ladder, helper = compute surface)."
