Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
35,Resource,ISO/IEC 14443 Quick Reference,https://ambisecure.ambimat.com/resources/tools/iso14443-ref/,PROTOCOL REFERENCE,NFC,Smart cards; APDU; Transit security,Contactless engineering,2,"A one-page map of the ISO/IEC 14443 contactless stack — the four parts, Type A vs B signalling, the anti-collision sequence, and the I/R/S block protocol that carries APDUs.",Smart-card engineer,ISO/IEC 14443 in four parts,From REQA to RATS in five steps,REFERENCE,STANDARD STACK,"Dominant object: a four-tier layered stack of the ISO/IEC 14443 parts, read bottom-up — -1 physical characteristics, -2 RF interface at 13.56 MHz (Type A = ASK 100%/Miller, Type B = ASK 10%/NRZ), -3 initialisation and anti-collision, -4 T=CL block protocol — with a compact side ladder showing REQA/WUPA to ATQA to the anti-collision loop to SELECT/SAK to RATS/ATS. Five major nodes maximum: the four parts plus the selection ladder. Inside hardware: the PICC's UID and its SAK response originate in the card chip and are simply reported; nothing is computed in the image. External: the only thing crossing is the 13.56 MHz RF link between reader (PCD) and card (PICC), with a thin band at the top showing 7816-4 APDUs riding over the 14443-4 transport. Labels allowed: '-1 -2 -3 -4', '13.56 MHz', 'Type A / Type B', 'REQA', 'ATQA', 'SAK', 'RATS/ATS', 'I / R / S'. Must not imply an interactive tool — this is a static reference page with no input field. Variation within VSG-REFERENCE-TABLE: this is a layered standard stack plus a selection ladder, whereas the EMV tag dictionary (rec 53) is a filterable row directory with a search field.","Do not show a contact pad module or 7816 contacts — 14443 is contactless only; Do not label Type A as ASK 10% (Type A is ASK 100% / Miller, Type B is ASK 10% / NRZ); Do not imply 14443 itself provides encryption or authentication — it is a transport layer; Do not draw an input or paste box — this page is a static reference with no input; Do not show a 4-byte UID for a cascaded 7- or 10-byte UID example","Layered view of the ISO/IEC 14443 contactless stack, from RF signalling to T=CL blocks, with the anti-collision ladder that narrows the field to a single card.",ambisecure-resources-tools-iso14443-ref-1200x630.png,VSG-REFERENCE-TABLE,resources.png,Not started,Adjacent to rec 89 (ISO/IEC 14443 Frame Explorer) and to the ATS parser / UID analyzer tools; this page is the static reference and 89 is the byte decoder — keep the images visibly different. Not a consolidation candidate: the reference serves a genuine hub role and internally links the frame tools.
39,Resource,WebAuthn Reference,https://ambisecure.ambimat.com/resources/webauthn/,PROTOCOL REFERENCE,WebAuthn,FIDO2; Attestation; Passkeys,FIDO & WebAuthn,1,"A version-pinned engineering reference that walks the exact WebAuthn ceremony fields, byte layouts and relying-party verification steps an integrator must get right.",Security architect,"WebAuthn verification, byte by byte",Six checks every relying party owes,REFERENCE,PROTOCOL FLOW,"Dominant object: a horizontal authenticatorData byte ribbon split into labelled segments — rpIdHash (32) | flags (1) | signCount (4 BE) | aaguid (16) | credentialPublicKey (COSE_Key) — with the flags byte exploded into a bit strip reading UP 0x01, UV 0x04, BE 0x08, BS 0x10, AT 0x40. The relationship: five relying-party verification nodes read off that ribbon in order — clientDataJSON (type/challenge/origin), SHA-256(rpId) vs rpIdHash, flags policy, attestation x5c against the MDS BLOB, persist credential. Stays inside the authenticator: the credential private key and the signature operation, drawn sealed. Crosses the wire: only clientDataJSON, authenticatorData and the signature. Labels allowed: rpIdHash, flags, signCount, aaguid, UP/UV/BE/BS/AT, webauthn.create, 9000-style hex byte runs. Must not imply AmbiSecure hosts or performs the ceremony — this is static documentation.","Do not show the credential private key or the private half of a COSE_Key leaving the authenticator; Do not depict this reference as a live validation service or hosted API — the portal is static and sends no bytes to a server; Do not draw BE=0 with BS=1, an invalid flag combination the page tells RPs to reject; Do not show attestation or attestedCredentialData on the authentication ceremony — AT is registration-only; Do not present a synced passkey and a hardware authenticator as the same credential class","Annotated authenticatorData layout beside the relying-party checks — rpIdHash, flags, attestation — from the AmbiSecure WebAuthn engineering reference portal.",ambisecure-resources-webauthn-1200x630.png,VSG-FIDO-CEREMONY,resources.png,Not started,"Static developer portal, version-pinned v1.0; links out to AmbiSecure client-side tools (CBOR decoder, authData parser). Image must not imply a hosted verification service. Strong internal-link hub for the tools cluster."
40,Resource,AmbiSecure deck,https://ambisecure.ambimat.com/resources/ambisecure-deck/,DOWNLOADABLE RESOURCE,Secure Elements,FIDO2; JavaCard; Device identity,Company overview,1,"A 20-slide downloadable overview of the AmbiSecure platform, from secure-element silicon up through applets, authenticators and the engagement model.",Technical evaluator,"One trust chain, many surfaces",The AmbiSecure platform in 20 slides,ARCHITECTURE,SYSTEM ARCHITECTURE,"Dominant object: the AmbiSecure platform stack as four stacked slabs in slight perspective, framed by a subtle slide-deck motif (page corner and a small 1/20 counter) that signals a downloadable deck rather than an article. The relationship is bottom-up dependency: EAL6+ secure-element silicon (root) carries the AmbiSEC nano-card / MFF2 module, which carries JavaCard applets (FIDO2, PIV, OpenPGP, IoT), which carry OnePass authenticators — feeding a fifth node, the enterprise / telecom / IoT systems that consume them. Stays inside hardware: key generation and custody plus applet isolation, both confined to the two lowest slabs. Communicates externally: only the top slab's consuming systems and the attestation they verify. Labels allowed: EAL6+ secure element, AmbiSEC, JavaCard, OnePass, FIDO2 / PIV / OpenPGP, 20 slides. Must not imply certifications beyond the EAL6+ rating the deck attributes to the secure element itself.","Do not imply AmbiSecure products are themselves EAL6+ certified — the deck attributes EAL6+ to the underlying secure element; Do not show keys or personalisation material leaving the secure element, including at the SCP03 personalisation step; Do not depict the deck as gated or lead-captured — it is a direct PDF download; Do not place eSIM / SIM-Auth inside the AmbiSecure product stack — the deck locates it on the separate SIMAuth platform; Do not reproduce real slide screenshots or imply a live webinar or event","Layered AmbiSecure platform stack — EAL6+ secure element, AmbiSEC module, JavaCard applets, OnePass authenticators — behind a downloadable 20-slide deck.",ambisecure-resources-ambisecure-deck-1200x630.png,VSG-SE-ARCHITECTURE,resources.png,Not started,"Direct PDF download (/assets/deck/ambisecure-deck.pdf), no gate. Company-level asset: the image must read as a platform overview, not a single product. Highest-value LinkedIn share of this batch alongside rec 39."
41,Resource,CBOR Decoder,https://ambisecure.ambimat.com/resources/tools/cbor-decoder/,PARSER,WebAuthn,FIDO2; Attestation; Hardware security keys,FIDO & WebAuthn,1,"Decode RFC 8949 CBOR blobs in the browser so engineers can read WebAuthn attestation objects, COSE keys and CTAP2 messages without shipping bytes to a server.",Security architect,Decode the bytes behind WebAuthn,Inside CTAP2's wire format,TOOL,DATA PARSER,"Dominant object: a nested CBOR item tree unfolding rightward out of a short hex ribbon, each node stamped with its major type rather than a bit-field breakdown. Flow: raw hex enters at the left, the major-type byte of each item selects its shape, and the tree opens into a typed hierarchy. Five major nodes maximum: a map (major type 5) at the root, a text-string key such as 'fmt', a byte string (major type 2) holding authData, an array under 'attStmt' (x5c), and one tagged item (tag 24, encoded CBOR data item). Inside hardware: nothing — the authenticator that produced the attestation object is out of frame; no key material appears. External: nothing leaves the page — show a small 'decodes locally' marker, as all decoding runs in-browser. Labels allowed: 'RFC 8949', 'major type 0..7', 'tag 24', 'fmt', 'attStmt', 'authData'. Must not imply the tool verifies an attestation signature or trust path. Variation within VSG-BYTE-PARSER: this is a typed nesting tree of variable-length items — no bit cells, no fixed-offset ribbon split, no frame-type rail.","Do not show bytes being uploaded to a server — CBOR decoding is entirely in-browser; Do not imply the decoder verifies attestation signatures or builds a trust chain; Do not conflate CBOR with JSON or with BER-TLV — CBOR uses major-type encoding, not tag-length-value; Do not depict the decoder as a scanner or vulnerability check; Do not show a private key inside the decoded COSE structure — COSE keys here are public","Nested CBOR item tree unfolding from raw hex, showing how AmbiSecure engineers read WebAuthn attestation and COSE structures entirely in-browser.",ambisecure-resources-tools-cbor-decoder-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,"Highest commercial pull in this batch — CBOR sits directly under FIDO2/WebAuthn/CTAP2, which is AmbiSecure's core positioning. Companion pages (COSE key inspector, attestation decoder) are separate records; keep node sets distinct across those three."
42,Resource,COSE Key Inspector,https://ambisecure.ambimat.com/resources/tools/cose-key/,PARSER,WebAuthn,FIDO2; Attestation; Hardware security keys,FIDO & WebAuthn,2,"Decodes a COSE_Key CBOR blob into its integer-keyed parameters, so you can read the credentialPublicKey out of any WebAuthn attestation.",Security architect,Decode the WebAuthn credentialPublicKey,"kty, alg, crv — read from CBOR",TOOL,DATA PARSER,"Dominant object: a CBOR byte string unfolding into a COSE_Key map whose keys are shown as the actual small integers, not friendly names. Flow: five rows — 1=kty, 3=alg, -1=crv, -2=x, -3=y — each integer paired with its decoded meaning, with a callout that the negative keys are the per-key-type (EC2) parameters. Upstream, a WebAuthn attestation envelope hands the credentialPublicKey into the decoder; downstream there is nothing — the tool decodes and stops, locally, with no server. Labels allowed: COSE_Key, RFC 8152 §7, credentialPublicKey, kty/alg/crv/x/y, EC2. Must not imply attestation verification and must never show a private key: only the public key ships in the envelope. Within VSG-BYTE-PARSER this is a flat integer-keyed CBOR map, contrasting with the PFX nested-container cutaway.",Do not show a private key in the COSE_Key — WebAuthn ships only the credentialPublicKey; Do not depict the tool verifying an attestation statement or signature; Do not draw JSON/JWK braces — COSE_Key is a CBOR map keyed by integers; Do not mark the negative keys as errors — -1/-2/-3 are valid EC2 parameters,"A CBOR blob unfolding into COSE_Key rows keyed by small integers, carrying a WebAuthn credentialPublicKey into AmbiSecure's local decoder — public key only.",ambisecure-resources-tools-cose-key-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,"Thin body (~800 chars), but the FIDO2/WebAuthn tie-in makes it worth an image; consider expanding the page copy."
43,Resource,AAGUID Lookup,https://ambisecure.ambimat.com/resources/tools/aaguid-lookup/,REFERENCE DATABASE,FIDO2,WebAuthn; Attestation; Hardware security keys,FIDO & WebAuthn,1,"Resolve a FIDO2 AAGUID to a known authenticator make and model against a curated offline directory, with the FIDO MDS BLOB named as the authoritative production source.",Security architect,AAGUID to authenticator make and model,Identify FIDO2 authenticators offline,REFERENCE,TECHNICAL WORKBENCH,"Dominant object: a single 16-byte AAGUID in canonical 8-4-4-4-12 form (cb69481e-8ff7-4039-93ec-0a2729a154a8) on an input rail, resolving rightwards into one match card. Five nodes: the AAGUID string; the curated offline dictionary; the match card carrying vendor, model and USB/NFC transports; a zero-AAGUID branch labelled 'make/model not declared'; and a greyed FIDO MDS BLOB chip marked as the authoritative production source this page does not fetch. Nothing hardware-internal appears — an AAGUID is a public make/model identifier, never a key or a user; the only external element is the greyed MDS fetch, explicitly drawn as not performed because lookup runs entirely in-browser. Labels allowed: AAGUID, vendor, model, USB, NFC, FIDO MDS. Must not imply the lookup verifies attestation or that the offline set is complete.","Do not show private keys or credential material — an AAGUID identifies a make and model, never a user or a key; Do not present the curated offline dictionary as the authoritative FIDO MDS BLOB; Do not imply the lookup verifies an attestation signature; Do not draw a network fetch — the lookup runs entirely in-browser; Do not depict a zero AAGUID as an error, it is allowed by WebAuthn Level 2","AmbiSecure AAGUID lookup resolving a 16-byte FIDO2 identifier into a vendor and model card, with the FIDO MDS BLOB marked as the production source.",ambisecure-resources-tools-aaguid-lookup-1200x630.png,VSG-REFERENCE-TABLE,resources.png,Not started,Offline dictionary (assets/js/lib/aaguid-dict.js) contains two AmbiSecure entries explicitly marked 'placeholder AAGUID' for OnePass Card and OnePass USB Key — the image must not depict a real or certified AmbiSecure AAGUID. Heavy overlap with FIDO Metadata Explorer (rec 93): both render the same AmbiSecureAAGUID.entries() set; consolidation candidate.
44,Resource,clientDataJSON Decoder,https://ambisecure.ambimat.com/resources/tools/clientdata-decoder/,PARSER,WebAuthn,Phishing-resistant authentication; FIDO2,FIDO & WebAuthn,2,"Decode a base64url clientDataJSON to see the exact type, challenge and origin the browser bound into a ceremony, plus the SHA-256 digest that forms half of what the authenticator signs.",Security practitioner,Where WebAuthn binds the origin,The SHA-256 the authenticator signs over,TOOL,DATA PARSER,"Dominant object: a base64url string unfolding into a four-field JSON card and then collapsing into a 32-byte digest chip. Five nodes: the base64url input; the JSON body with type 'webauthn.create' / 'webauthn.get'; the challenge field; the origin field (https://example.com) carrying the load-bearing exact-match check against the RP allow-list; and SHA-256(clientDataJSON) feeding a concatenation chip reading authData || digest. No hardware interior is shown — clientDataJSON is produced by the browser and holds no key material; nothing communicates externally, since decoding and hashing happen locally in the page. Labels allowed: type, challenge, origin, crossOrigin, SHA-256. Must not imply the tool verifies signatures, challenges or origins. Within VSG-FIDO-CEREMONY this page owns the browser-side JSON object alone: no authenticator, no actor lanes, no message sequence.","Do not show the authenticator or a private key producing clientDataJSON — the browser produces it; Do not show clientDataJSON being sent to a server, decoding is entirely in-browser; Do not present the SHA-256 digest alone as the signed message — the authenticator signs authenticatorData concatenated with that digest; Do not present the decoder as verifying the origin or challenge against an RP allow-list; Do not depict the challenge as originating in the browser, the RP issues it","AmbiSecure decoder unfolding a base64url clientDataJSON into type, challenge and origin, then the SHA-256 digest that anchors WebAuthn origin binding.",ambisecure-resources-tools-clientdata-decoder-1200x630.png,VSG-FIDO-CEREMONY,resources.png,Not started,
45,Resource,authenticatorData Parser,https://ambisecure.ambimat.com/resources/tools/authdata-parser/,PARSER,WebAuthn,Passkeys; FIDO2; Attestation,FIDO & WebAuthn,1,"Walk the binary authenticatorData structure field by field — rpIdHash, flags, signCount, AAGUID, credentialId, COSE_Key — entirely in the browser.",Security architect,The 37 bytes every assertion carries,BE and BS decide device-bound or synced,TOOL,DATA PARSER,"Dominant object: a horizontal byte ribbon with real numeric offsets running left to right. Five nodes: bytes 0-31 rpIdHash = SHA-256(rpId), the anti-phishing anchor the RP re-computes; byte 32 flags exploded into bit cells UP 0x01, UV 0x04, BE 0x08, BS 0x10, AT 0x40, ED 0x80; bytes 33-36 signCount as a uint32; the attestedCredentialData run (AAGUID, credentialIdLength, credentialId) shown gated behind AT; and the trailing COSE_Key handed off to the COSE inspector. What stays inside hardware: the private key, which never appears anywhere in authenticatorData — only the public COSE_Key does. Nothing communicates externally; parsing is local. Labels allowed: byte offsets, rpIdHash, flags, signCount, AAGUID, credentialId, COSE_Key. Must not imply signCount 0 is a fault or BE=1 is a weakness. Within VSG-BYTE-PARSER this page owns the flat offset ribbon with bit-level flag explosion.","Do not draw a private key inside authenticatorData — only the public COSE_Key is present; Do not flag signCount = 0 as an error, Windows Hello and Apple authenticators deliberately hold it at 0; Do not equate BE=1 with a weak credential — it means backup-eligible, not compromised; Do not show attestedCredentialData when the AT flag is clear; Do not present the parser as verifying the assertion signature","Byte-offset ribbon of WebAuthn authenticatorData in the AmbiSecure parser, exploding the flags byte into UP, UV, BE, BS and AT bits beside signCount.",ambisecure-resources-tools-authdata-parser-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,
46,Resource,WebAuthn Attestation Decoder,https://ambisecure.ambimat.com/resources/tools/attestation-decoder/,PARSER,Attestation,WebAuthn; FIDO2; Hardware security keys,FIDO & WebAuthn,1,"Decode a CBOR attestationObject into fmt, attStmt and authData so a relying-party team can read exactly what an authenticator claims about its make and model.",Security architect,"Attestation identifies the device, not the person",Inside the CBOR attestationObject,TOOL,DATA PARSER,"Dominant object: a three-branch CBOR map tree hanging off the attestationObject root. Five nodes: the root map; the fmt branch showing none / packed / tpm side by side; the attStmt branch carrying alg (-7 ES256), sig and an x5c certificate array handed to the X.509 viewer; the authData branch as a byte block handed to the authenticatorData parser; and an AAGUID chip pointing at a greyed FIDO MDS BLOB for enterprise policy. What stays inside hardware: the attestation private key — only the signature and the attestation certificate chain travel outward. The only external element is the MDS BLOB, drawn as an RP-side step this decode-only tool does not perform. Labels allowed: fmt, attStmt, authData, x5c, alg, AAGUID. Must not imply signature or chain verification, or that attestation carries user identity. Within VSG-BYTE-PARSER this page owns the nested CBOR key/value tree with a certificate-array branch, not a linear byte ribbon.","Do not present the decoder as an attestation verifier — it checks neither the signature nor the x5c chain; Do not show attestation carrying user identity, it identifies make and model only; Do not draw the attestation private key leaving the authenticator — only the signature and certificate chain travel; Do not imply fmt: none is broken, it is the normal consumer case; Do not place a FIDO root certificate inside x5c, the chain stops below the root","AmbiSecure attestation decoder splitting a CBOR attestationObject into fmt, attStmt and authData, showing how an AAGUID pins an authenticator's make and model.",ambisecure-resources-tools-attestation-decoder-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,
47,Resource,RP ID / Origin Validator,https://ambisecure.ambimat.com/resources/tools/rp-id-validator/,ENGINEERING TOOL,WebAuthn,Phishing-resistant authentication; FIDO2; Passkeys,FIDO & WebAuthn,2,Check an origin and rpId pair against the WebAuthn registrable-domain-suffix rule before a browser rejects the ceremony in production.,Security architect,rpId must be a registrable suffix,Credential scope is a domain decision,TOOL,CONCEPTUAL ILLUSTRATION,"Dominant object: a domain-name hierarchy with a scope bracket drawn over it. Five nodes: the origin https://login.example.com; its effective domain login.example.com; the rpId example.com rendered as the bracket enclosing every *.example.com host the credential may roam across; an ALLOWED verdict chip on that pair; and a REJECTED chip on a non-suffix pair with a public-suffix stop-line at 'com'. Nothing hardware-internal is shown — RP ID scoping is enforced by the browser before the authenticator is ever reached, so no keys or authenticators appear. Nothing communicates externally either: validation is local string logic against the registrable-suffix rule, with no DNS or certificate traffic. Labels allowed: origin, rpId, https, registrable suffix, ALLOWED, REJECTED. Within VSG-FIDO-CEREMONY this page owns the static domain hierarchy: no actors, no messages, no byte fields.","Do not show an authenticator or key material — RP ID scoping is browser-enforced before the authenticator is reached; Do not imply the tool queries live DNS, TLS certificates or the Public Suffix List over the network; Do not draw an rpId with a scheme, port or path — rpId is a bare domain; Do not present an ALLOWED verdict as phishing protection in itself; Do not mark http://localhost as invalid, it is the one HTTP exception",Layered diagram from the AmbiSecure RP ID validator tracing an origin down to its rpId suffix, with the key held in the authenticator.,ambisecure-resources-tools-rp-id-validator-1200x630.png,VSG-FIDO-CEREMONY,resources.png,Not started,"The tool's public-suffix check is a heuristic (short hardcoded list plus a 2-3 letter regex), not a real Public Suffix List lookup — the image must not imply authoritative PSL coverage."
48,Resource,Base64URL Converter,https://ambisecure.ambimat.com/resources/tools/base64url/,ENGINEERING TOOL,WebAuthn,FIDO2,FIDO & WebAuthn,2,"Decodes and re-encodes base64url — the RFC 4648 section 5 format WebAuthn, JOSE, and CTAP2 use for every binary field — and shows the same value simultaneously as base64, hex, and UTF-8.",Security practitioner,The alphabet WebAuthn actually uses,"One value, four representations",TOOL,DATA PARSER,"Dominant object is a single WebAuthn credentialId value at centre, radiating into four synchronised representation lanes that all describe the same bytes: base64url (- _, no padding), standard base64 (+ /, = padding), hex bytes, and UTF-8 text shown greyed and struck because the field is a raw identifier, not readable text. Five nodes: the source value plus the four lanes. Small consumer chips ring the base64url lane — WebAuthn challenge/credentialId, JWS, CTAP2, PKCE — naming who relies on this alphabet. The entire fan sits inside a browser-boundary frame: no authenticator, relying party, or server is contacted. Variation within VSG-ENCODING-CONVERTER: this is the one-to-many radial representation fan anchored to a real WebAuthn field, distinct from rec 17's two-track base64 fork. Allowed labels: RFC 4648 section 5, base64url, - _, + /, credentialId. Must not imply any ceremony participation.","Do not show base64url carrying = padding or + and / characters — it uses - and _ and drops padding; Do not imply the tool contacts an authenticator, verifies an assertion, or checks a signature; Do not depict base64url as conferring any security property — it is transport encoding, and origin binding is what makes WebAuthn phishing-resistant; Do not render a decoded credentialId as readable text — the bytes are opaque","A WebAuthn credentialId fanned into base64url, base64, hex and UTF-8 lanes, showing the RFC 4648 section 5 alphabet FIDO2 and JOSE use — decoded in the browser.",ambisecure-resources-tools-base64url-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Thin body (~775 chars) and overlaps rec 17; differentiate strictly on the WebAuthn/JOSE/CTAP2 framing and consider expanding the copy.
49,Resource,Credential ID Inspector,https://ambisecure.ambimat.com/resources/tools/credential-id/,ENGINEERING TOOL,WebAuthn,FIDO2; Passkeys; Hardware security keys,FIDO & WebAuthn,3,"Sanity-check a credentialId's length, entropy and encoding while keeping the governing rule visible — the credentialId is opaque to the relying party.",Security practitioner,credentialId is opaque to the RP,Small ID or wrapped key blob,TOOL,DATA PARSER,"Dominant object: one credentialId blob split into two contrasting silhouettes. Five nodes: the byte blob with its length chip; a short discoverable-credential ID whose credential lives on the authenticator; a long server-side-resident ID carrying an encrypted key wrap, drawn as a sealed box the RP cannot open; a Shannon entropy readout in bits/byte; and an optional AAGUID-shaped first-16-bytes prefix chip that only some vendors prepend. What stays inside hardware: the wrapping key, which never leaves the authenticator even though the wrapped blob rides inside the ID. Nothing communicates externally; inspection is local. Labels allowed: credentialId, bytes, bits/byte, allowCredentials, AAGUID prefix. Must not imply the RP can derive identity or key material from the bytes. Within VSG-BYTE-PARSER this page owns the whole-blob comparison with an entropy readout — no offsets, no tree.","Do not show the RP reading identity or key material out of the credentialId — it is opaque by design; Do not draw the wrapping key leaving the authenticator, only the wrapped blob travels inside the ID; Do not present low entropy as a vulnerability finding — this is a diagnostic, not a scanner; Do not imply an AAGUID-shaped prefix is required, only some vendors prepend one; Do not imply long IDs are weaker than short ones, both are spec-compliant","AmbiSecure credential ID inspector contrasting a short discoverable WebAuthn credentialId with a long wrapped-key blob, both opaque to the relying party.",ambisecure-resources-tools-credential-id-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,"Narrow diagnostic utility, low sharing potential — supporting page for the AAGUID and authenticatorData tools. Separate content bug (not image-blocking): in credential-id-inspector.js the b.length === 64 note is unreachable, shadowed by the preceding 32-64 range branch."
50,Resource,WebAuthn Challenge Viewer,https://ambisecure.ambimat.com/resources/tools/challenge-viewer/,ENGINEERING TOOL,WebAuthn,FIDO2; Phishing-resistant authentication,FIDO & WebAuthn,2,"Inspect a WebAuthn challenge's length and entropy and generate a fresh 32-byte one with the platform CSPRNG, so predictable challenges never reach production.",Security practitioner,"32 random bytes, server-side, single-use","Without freshness, signatures replay",TOOL,TECHNICAL WORKBENCH,"Dominant object: a 32-cell byte grid with uniformly scattered values, paired with an entropy gauge. Five nodes: the challenge byte grid; the gauge reading bits/byte against the 8.0 ideal; a length chip contrasting the spec floor of 16 bytes with the recommended 32; a rejected counter-example whose bytes are all printable ASCII, flagged suspicious; and a CSPRNG source chip (crypto.getRandomValues / crypto.randomBytes) with Math.random struck through. Nothing hardware-internal appears — a challenge is public, RP-generated freshness data, not key material, and it is not produced by the authenticator. Nothing communicates externally: generation uses the local platform CSPRNG in-page and no bytes are transmitted. Labels allowed: bytes, bits/byte, 16, 32, CSPRNG. Must not imply the challenge is secret or that an entropy score proves RNG soundness.","Do not depict the challenge as a secret or a key — it is public, single-use freshness data; Do not show the challenge originating in the authenticator, the relying party generates it; Do not imply the entropy readout proves an RNG is cryptographically sound, it is a smoke test on one sample; Do not present a challenge below the 16-byte spec floor as acceptable; Do not imply generated challenges are sent to or stored on an AmbiSecure server","Byte grid and entropy gauge from the AmbiSecure WebAuthn challenge viewer, contrasting CSPRNG output with predictable challenges that let signatures replay.",ambisecure-resources-tools-challenge-viewer-1200x630.png,VSG-CRYPTO-CALC,resources.png,Not started,
51,Resource,ISO 7816-4 CLA Decoder,https://ambisecure.ambimat.com/resources/tools/iso7816-cla/,PARSER,APDU,Smart cards; Secure Elements,Smart-card engineering,2,"Decode the ISO/IEC 7816-4 CLA byte into its bit-fields so engineers can see at a glance whether a command is interindustry or proprietary, secure-messaged, chained, and on which logical channel.",Smart-card engineer,What the CLA byte declares,"Secure messaging, chaining, channel — in one byte",TOOL,DATA PARSER,"Dominant object: a single CLA byte magnified into eight labelled bit cells, sitting at the head of a greyed-out APDU header (CLA INS P1 P2), with callout lines fanning to four readouts. Flow: one byte in, four independent field meanings out. Five major nodes maximum: class type (interindustry vs proprietary, top bit), secure messaging (bits b3..b2, four states from 'no SM' to 'header authenticated'), command chaining (bit b4), logical channel (low two bits, channels 0-3), and a small strip of real sample values 00 / 0C / 80 / 84. Inside hardware: nothing is computed on a card — the card that would interpret this CLA stays out of frame. External: show the APDU header as the thing that would travel to a card, but with no reader, no cable and no transmission depicted; decoding runs locally. Labels allowed: 'CLA INS P1 P2', '00 / 0C / 80 / 84', 'b3..b2 SM', 'b4 chaining', 'channel 0-3', 'ISO/IEC 7816-4 §5.4.1'. Must not imply the tool sends anything or that proprietary classes are defective. Variation within VSG-BYTE-PARSER: this is the only concept at single-byte bit-cell resolution — one byte, no tree, no sequence, no multi-field ribbon.","Do not show a card reader, cable or live card — the decoder never transmits an APDU; Do not present proprietary CLA 0x80/0x84 as invalid or insecure — they are simply application-defined (e.g. GlobalPlatform); Do not depict the SM bits performing encryption — they only signal that secure messaging is in effect; Do not show CLA 0xFF as a normal class — it is reserved by 7816-3 for PPS; Do not show a logical channel above 3 on the first-interindustry encoding (channels 4-19 use the further-interindustry form)","A single ISO 7816-4 CLA byte magnified into bit cells, showing how a card learns the class, secure-messaging state, chaining and logical channel.",ambisecure-resources-tools-iso7816-cla-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,"Bit-numbering caveat for human review: the page and its JS use zero-indexed names (b3..b2 for SM, b4 for chaining), whereas ISO/IEC 7816-4 numbers bits b1..b8. Match the site's own naming in the image for consistency with the tool, but a reviewer may want the page itself aligned to ISO numbering."
52,Resource,BER Length Visualizer,https://ambisecure.ambimat.com/resources/tools/ber-length/,CALCULATOR,BER-TLV,Smart cards; JavaCard; Personalization,ASN.1 & encoding,3,"Decode BER length octets and encode an integer back into them, covering short-form, long-form and indefinite-form under ITU-T X.690 §8.1.3.",Smart-card engineer,Three ways BER encodes a length,"Long-form length octets, decoded and built",TOOL,COMPARISON,"Dominant object: one length value shown three ways on a horizontal comparison rail, with a two-headed arrow across the middle marking that the tool runs in both directions (octets to integer, integer to octets). Flow: a length in bytes maps to a distinct octet pattern depending on magnitude and encoding rules. Five major nodes maximum: short-form (single octet ≤ 0x7F), long-form (first octet 0x80|N then N big-endian octets, e.g. 82 01 2C), indefinite-form (0x80, BER only, terminated by 00 00), the DGI long-form variant (always FF followed by a 2-byte big-endian length, even for small values), and the encode direction. Inside hardware: nothing — this is pure encoding arithmetic, no card and no key material. External: nothing leaves the browser; decoding and encoding are local. Labels allowed: 'ITU-T X.690 §8.1.3', '0x7F', '0x80 | N', '00 00', 'FF || 2-byte BE', 'DER forbids'. Must not imply this parses whole TLV structures — it handles the length field only.","Do not show indefinite-form 0x80 as valid DER — DER forbids it, it is BER-only; Do not present 0xFF as a usable length octet — it is reserved; Do not merge the tag byte into the length octets — the rail shows the length field alone; Do not imply the tool parses complete TLV objects or values; Do not show DGI long-form as a general BER rule — it is a stricter EMV personalisation variant","Three BER length forms compared side by side — short, long and indefinite — showing how X.690 encodes any TLV length in one or more octets.",ambisecure-resources-tools-ber-length-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,"Consolidation candidate: overlaps the Length-Field Encoder at /resources/tools/length-field/ (BER, DGI, u8, u16 BE/LE), which the page itself links as a companion. The encode halves substantially duplicate; a reviewer may want these merged into one length tool, or this page narrowed to decode-plus-explainer. Narrow utility and low sharing potential either way."
