Image Number,Page Name,Supplied Page URL,Final Canonical URL,Export Filename,Uploaded Media URL,Media or Attachment ID,Alt Text,Featured Image Updated,OG Image Updated,OG Image Alt Updated,Twitter Image Updated,Twitter Image Alt Updated,Image Width,Image Height,HTTP Status,Public Page Verified,LinkedIn Preview Verified,Implementation Status,Notes
11,Phishing-Resistant Authentication,https://ambisecure.ambimat.com/solutions/phishing-resistant-authentication/,https://ambisecure.ambimat.com/solutions/phishing-resistant-authentication/,ambisecure-solutions-phishing-resistant-authentication-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-solutions-phishing-resistant-authentication-1200x630.png,N/A (static site - no media DB),AmbiSecure authenticator completing authentication only with the legitimate origin while a lookalike origin fails.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
12,Secure Element Integration,https://ambisecure.ambimat.com/solutions/secure-element-integration/,https://ambisecure.ambimat.com/solutions/secure-element-integration/,ambisecure-solutions-secure-element-integration-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-solutions-secure-element-integration-1200x630.png,N/A (static site - no media DB),AmbiSecure secure element holding keys at the base of a layered stack while verified operations rise to the trusted cloud.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
13,V2X Security,https://ambisecure.ambimat.com/solutions/v2x-security/,https://ambisecure.ambimat.com/solutions/v2x-security/,ambisecure-solutions-v2x-security-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-solutions-v2x-security-1200x630.png,N/A (static site - no media DB),"AmbiSecure vehicle onboard unit with a secure element exchanging signed, verified V2X messages with a roadside unit and PKI trust service.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
14,Technologies directory,https://ambisecure.ambimat.com/technologies/,https://ambisecure.ambimat.com/technologies/,ambisecure-technologies-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-1200x630.png,N/A (static site - no media DB),"AmbiSecure identity stack layering NFC, PKI, FIDO/WebAuthn and JavaCard on a secure-element foundation.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
15,FIDO2,https://ambisecure.ambimat.com/technologies/fido2/,https://ambisecure.ambimat.com/technologies/fido2/,ambisecure-technologies-fido2-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-fido2-1200x630.png,N/A (static site - no media DB),AmbiSecure FIDO2 flow keeping the private key in the authenticator while only a signed response reaches the relying party.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
16,Industries directory,https://ambisecure.ambimat.com/industries/,https://ambisecure.ambimat.com/industries/,ambisecure-industries-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-1200x630.png,N/A (static site - no media DB),"AmbiSecure root of trust anchoring government, enterprise, transit, smart-city and IoT deployments.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
17,Government and Defence,https://ambisecure.ambimat.com/industries/government-and-defence/,https://ambisecure.ambimat.com/industries/government-and-defence/,ambisecure-industries-government-and-defence-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-government-and-defence-1200x630.png,N/A (static site - no media DB),"AmbiSecure PIV-style credential linking controlled issuance, a government workstation and a PKI trust hierarchy.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,No government seal or emblem used per brief; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
18,Enterprise Access,https://ambisecure.ambimat.com/industries/enterprise-access/,https://ambisecure.ambimat.com/industries/enterprise-access/,ambisecure-industries-enterprise-access-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-enterprise-access-1200x630.png,N/A (static site - no media DB),"AmbiSecure single hardware credential opening building access, workstation login, VPN or cloud and privileged systems.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
19,Transportation,https://ambisecure.ambimat.com/industries/transportation/,https://ambisecure.ambimat.com/industries/transportation/,ambisecure-industries-transportation-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-transportation-1200x630.png,N/A (static site - no media DB),AmbiSecure transit card tapping a validator connected to a protected secure backend for closed-loop ticketing.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,No payment-network or transit-agency logos used; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
20,Smart Cities,https://ambisecure.ambimat.com/industries/smart-cities/,https://ambisecure.ambimat.com/industries/smart-cities/,ambisecure-industries-smart-cities-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-smart-cities-1200x630.png,N/A (static site - no media DB),"AmbiSecure city credential connecting transit, civic access, utility and digital public services from one secure core.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
21,Connected Mobility,https://ambisecure.ambimat.com/industries/connected-mobility/,https://ambisecure.ambimat.com/industries/connected-mobility/,ambisecure-industries-connected-mobility-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-industries-connected-mobility-1200x630.png,N/A (static site - no media DB),AmbiSecure connected vehicle with an embedded identity anchor exchanging signed messages and managed certificates.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Broader industry framing vs the V2X solution frame; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
22,Services directory,https://ambisecure.ambimat.com/services/,https://ambisecure.ambimat.com/services/,ambisecure-services-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-services-1200x630.png,N/A (static site - no media DB),"AmbiSecure engineering lifecycle from secure silicon through applet development, loading, personalization, form factor and backend validation.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
23,FIDO Validation Server,https://ambisecure.ambimat.com/services/fido-validation-server/,https://ambisecure.ambimat.com/services/fido-validation-server/,ambisecure-services-fido-validation-server-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-services-fido-validation-server-1200x630.png,N/A (static site - no media DB),"AmbiSecure validation server handling attestation, tenant policy and metadata to approve FIDO2 authentication.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
24,Engineering Resources,https://ambisecure.ambimat.com/resources/,https://ambisecure.ambimat.com/resources/,ambisecure-resources-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-resources-1200x630.png,N/A (static site - no media DB),AmbiSecure engineering tools previewing ATR parsing and APDU/TLV decoding for secure-element and smart-card work.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
25,Case Studies,https://ambisecure.ambimat.com/case-studies/,https://ambisecure.ambimat.com/case-studies/,ambisecure-case-studies-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-case-studies-1200x630.png,N/A (static site - no media DB),AmbiSecure deployment journey from architecture through prototype and personalization to field deployment.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,No customer names or metrics invented per brief; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
26,Brochures,https://ambisecure.ambimat.com/brochures/,https://ambisecure.ambimat.com/brochures/,ambisecure-brochures-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-brochures-1200x630.png,N/A (static site - no media DB),"AmbiSecure branded technical document covers for product, solution and architecture briefs.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
27,About AmbiSecure,https://ambisecure.ambimat.com/about/,https://ambisecure.ambimat.com/about/,ambisecure-about-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-about-1200x630.png,N/A (static site - no media DB),"AmbiSecure embedded-engineering and secure-element development work grounded in Ahmedabad, India.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Conceptual engineering imagery; no depicted employees; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
